id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate,category
00001cee341fdb12,yo bitch ja rule is more succesful then youll ever be whats up with you and hating you sad mofuckasi should bitch slap ur pethedic white faces and get you to kiss my as you guys sicken me ja rule is about pride in da music man dont diss that shit on him and nothin is wrong bein like tupac he was a brother toofuckin white boys get things right next time,0.00045107450569048524,4.190974141238257e-05,5.9037261962657794e-05,3.594316149246879e-05,9.74485301412642e-05,5.133082595421001e-05,
0000247867823ef7,from rfc the title is fine as it is imo,0.0016252370551228523,1.1283976164122578e-05,0.00013243299326859415,2.268238677061163e-05,0.00012914928083773702,4.797794099431485e-05,
00013b17ad220c46,sources zawe ashton on lapland,0.4300464987754822,0.0005779124330729246,0.043833136558532715,0.006329941563308239,0.0765998438000679,0.013767126947641373,
00017563c3f7919a,if you have a look back at the source the information i updated was the correct form i can only guess the source had not updated i shall update the information once again but thank you for your message,0.0007241205312311649,1.8066770280711353e-05,7.822933548595756e-05,2.1459882191265933e-05,9.34774725465104e-05,3.766121881199069e-05,
00017695ad8997eb,i do not anonymously edit articles at all,0.00046509821549989283,3.8951831811573356e-05,5.9993963077431545e-05,3.418020423850976e-05,9.644300735089928e-05,4.95087806484662e-05,
0001ea8717f6de06,thank you for understanding i think very highly of you and would not revert without discussion,0.0013231252087280154,1.1906658983207308e-05,0.00011561709106899798,2.083706931443885e-05,0.00011540218838490546,4.293851452530362e-05,
00024115d4cbde0f,please do not add nonsense to wikipedia such edit is are considered vandalism and quickly undo if you would like to experiment please use the sandbox instead thank you,0.0004559904627967626,4.0828996134223416e-05,5.935796070843935e-05,3.530328831402585e-05,9.706402488518506e-05,5.066776066087186e-05,
000247e83dcc1211,dear god this site is horrible,0.0010073828743770719,1.3530840078601614e-05,9.678932838141918e-05,1.981897912628483e-05,0.00010247481986880302,3.860455035464838e-05,
00025358d4737918,only a fool can believe in such numbers the correct number lies between to ponder the numbers carefully this error will persist for a long time as it continues to reproduce the latest reproduction i know is from encyclopædia britannica almanac wich states magnittude fair enough victims today to is not a lot so i guess people just come out with a number that impresses enough i do not know but i know this it is just a shameless lucky number that they throw in the air gc,0.00044693908421322703,4.2860334360739216e-05,5.8767305745277554e-05,3.650234066299163e-05,9.777654486242682e-05,5.191254604142159e-05,
00026d1092fe71cc,double redirects when fixing double redirects do not just blank the outer one you need edit it to point it to the final target unless you think it is inappropriate in which case it needs to be nominated at wprfd,0.9981147050857544,0.39499834179878235,0.9910975694656372,0.03419944643974304,0.9322036504745483,0.17129124701023102,toxic;obscene;insult
